,Country,Player,Runs,MatchDate,Weekday,Ground,Versus,Balls,Centuries,Strike_Rate
33247,South Africa,Jacques H Kallis,100,09-01-2001,Tue,Boland Bank Park,Sri Lanka,139,1,0.7194244604316546
33517,South Africa,Herschelle H Gibbs,175,12-03-2006,Sun,The Wanderers Stadium,Australia,111,1,1.5765765765765767
33518,South Africa,Herschelle H Gibbs,153,03-10-2002,Thu,Senwes Park,Bangladesh,131,1,1.16793893129771
33519,South Africa,Herschelle H Gibbs,143,16-02-2003,Sun,The Wanderers Stadium,New Zealand,141,1,1.0141843971631206
33520,South Africa,Herschelle H Gibbs,125,23-09-2001,Sun,Queens Sports Club,Zimbabwe,112,1,1.1160714285714286
33521,South Africa,Herschelle H Gibbs,125,30-01-1999,Sat,St George's Park,West Indies,146,1,0.8561643835616438
33522,South Africa,Herschelle H Gibbs,119,02-12-2007,Sun,Newlands,New Zealand,101,1,1.1782178217821782
33523,South Africa,Herschelle H Gibbs,118,11-02-2005,Fri,Kingsmead,England,133,1,0.8872180451127819
33524,South Africa,Herschelle H Gibbs,116,25-09-2002,Wed,R. Premadasa Stadium,India,119,1,0.9747899159663865
33525,South Africa,Herschelle H Gibbs,116,20-09-2002,Fri,R. Premadasa Stadium,Kenya,126,1,0.9206349206349206
33526,South Africa,Herschelle H Gibbs,114,12-08-2002,Mon,National Cricket Stadium,Pakistan,130,1,0.8769230769230769
33527,South Africa,Herschelle H Gibbs,111,09-03-2000,Thu,Nehru Stadium (Kochi),India,127,1,0.8740157480314961
33528,South Africa,Herschelle H Gibbs,111,25-08-2007,Sat,Harare Sports Club,Zimbabwe,100,1,1.11
33529,South Africa,Herschelle H Gibbs,110,13-04-2009,Mon,St George's Park,Australia,116,1,0.9482758620689655
33530,South Africa,Herschelle H Gibbs,108,04-12-2002,Wed,De Beers Diamond Oval,Sri Lanka,92,1,1.173913043478261
33531,South Africa,Herschelle H Gibbs,107,09-05-2001,Wed,Kensington Oval,West Indies,132,1,0.8106060606060606
33532,South Africa,Herschelle H Gibbs,104,02-05-2001,Wed,Antigua Recreation Ground,West Indies,141,1,0.7375886524822695
33533,South Africa,Herschelle H Gibbs,102,03-02-2008,Sun,The Wanderers Stadium,West Indies,84,1,1.2142857142857142
33534,South Africa,Herschelle H Gibbs,102,18-10-2007,Thu,Gaddafi Stadium,Pakistan,128,1,0.796875
33535,South Africa,Herschelle H Gibbs,101,18-09-2004,Sat,The Oval,West Indies,135,1,0.7481481481481481
33536,South Africa,Herschelle H Gibbs,101,13-06-1999,Sun,Headingley,Australia,134,1,0.753731343283582
33537,South Africa,Herschelle H Gibbs,100,06-02-2005,Sun,Newlands,England,115,1,0.8695652173913043
33735,South Africa,Gary Kirsten,188,16-02-1996,Fri,Rawalpindi Cricket Stadium,United Arab Emirates,159,1,1.1823899371069182
33736,South Africa,Gary Kirsten,133,05-10-2001,Fri,The Wanderers Stadium,India,155,1,0.8580645161290322
